05735453,FREDERIK,HENDRIK,LEEUWRIK,1,,NL,NETHERLANDS,residence	
13322145,Felix,,Henry,1,,FR,FRANCE,residence	
13322145,Felix,,Henry,1,,GB,UNITED KINGDOM,postal	
13322145,Isabelle,,Corouge,3,,FR,FRANCE,residence	
13322145,Isabelle,,Corouge,3,,GB,UNITED KINGDOM,postal	
13325580,Imitaz,,Ali,1,MI,US,UNITED STATES,residence	
13325580,Matthew,,Kramp,2,MI,US,UNITED STATES,residence	
13325580,Imitaz,,Ali,1,MI,US,UNITED STATES,postal	
13325580,Alexander,,Serkh,3,MI,US,UNITED STATES,residence	
13328384,Changsong,,Xie,1,,DE,GERMANY,residence	
13328384,Changsong,,Xie,1,,DE,GERMANY,postal	
13332421,Toshiaki,,IBATA,2,,JP,JAPAN,residence	
13332421,Noboru,,KOBAYASHI,1,,JP,JAPAN,postal	
13332421,Noboru,,KOBAYASHI,1,,JP,JAPAN,residence	
13332790,Pradeep,J.,BHEDA,1,CA,US,UNITED STATES,residence	
13332790,Pradeep,J.,BHEDA,1,CA,US,UNITED STATES,postal	
13332790,Prasad,Y.,CHEBROLU,2,CA,US,UNITED STATES,residence	
13333556,Michael,,Lurie,1,,IL,ISRAEL,residence	
13333556,Michael,,Lurie,1,,IL,ISRAEL,postal	
13333556,Milan,,Shtal,2,,IL,ISRAEL,residence	
13334213,Kenichiro,,KURAHASHI,1,,JP,JAPAN,postal	
13334213,Kenichiro,,KURAHASHI,1,,JP,JAPAN,residence	
13334213,Kazuyuki,,Onoe,3,,JP,JAPAN,residence	
13334213,Hidetoshi,,Koyama,2,,JP,JAPAN,residence	
13334811,David,Wayne,Morton,3,CA,US,UNITED STATES,residence	
13334811,Douglas,M.,WEIDENHEIMER,1,CA,US,UNITED STATES,postal	
13334811,Kevin,J.,Donegan,2,NY,US,UNITED STATES,residence	
13334811,Douglas,M.,WEIDENHEIMER,1,CA,US,UNITED STATES,residence	
13336507,Min-Jic,,LEE,2,,KR,"KOREA, REPUBLIC OF",residence	
13336507,Min-Suk,,KONG,1,,KR,"KOREA, REPUBLIC OF",residence	
13336507,Byung-Hyun,,LEE,3,,KR,"KOREA, REPUBLIC OF",residence	
13336507,Min-Suk,,KONG,1,,KR,"KOREA, REPUBLIC OF",postal	
13338219,Chul,Sik,Yoon,5,,KR,"KOREA, REPUBLIC OF",residence	
13338219,Eunkyung,,Kim,2,,KR,"KOREA, REPUBLIC OF",residence	
13338219,Hyun,,Lee,4,,KR,"KOREA, REPUBLIC OF",residence	
13338219,Sung,Cheol,Chang,3,,KR,"KOREA, REPUBLIC OF",residence	
13338219,Sung,Kyung,Kim,1,,KR,"KOREA, REPUBLIC OF",postal	
13338219,Sung,Kyung,Kim,1,,KR,"KOREA, REPUBLIC OF",residence	
13340923,James,D.,Lynch,1,IL,US,UNITED STATES,residence	
13340923,James,D.,Lynch,1,IL,US,UNITED STATES,postal	
13341741,PRANEET,,ATHALYE,1,NC,US,,residence	
13341741,PRANEET,,ATHALYE,1,NC,US,,postal	
13344294,Fumihiro,,MORISHITA,4,,JP,JAPAN,residence	
13344294,Hiroki,,SAGAMI,1,,JP,JAPAN,residence	
13344294,Shinji,,HIRONAKA,6,,JP,JAPAN,residence	
13344294,Takuji,,WADA,5,,JP,JAPAN,residence	
13344294,Hiroaki,,HORII,3,,JP,JAPAN,residence	
13344294,Takashi,,KURIBAYASHI,7,,JP,JAPAN,residence	
13344294,Kyoji,,HAMAMOTO,2,,JP,JAPAN,residence	
13344294,Hiroki,,SAGAMI,1,,JP,JAPAN,postal	
13345916,Nobuyuki,,ADACHI,1,,JP,JAPAN,residence	
13345916,Nobuyuki,,ADACHI,1,,JP,JAPAN,postal	
13346348,YANG,,ZHANG,7,WA,US,UNITED STATES,residence	
13346348,KAVITHA,,MANIVANNAN,9,WA,US,UNITED STATES,residence	
13346348,SRIRAM,,SANKARAN,4,WA,US,UNITED STATES,residence	
13346348,JU,,WANG,2,WA,US,UNITED STATES,residence	
13346348,PRADEEP,KUMAR,GUNDA,6,WA,US,UNITED STATES,residence	
13346348,VAMAN,,BEDEKAR,3,WA,US,UNITED STATES,residence	
13346348,SHYAM,,ANTONY,8,WA,US,UNITED STATES,residence	
13346348,ARILD,E,SKJOLSVOLD,10,WA,US,UNITED STATES,residence	
13346348,MARVIN,,MCNETT,5,WA,US,UNITED STATES,residence	
13346348,HEMAL,,KHATRI,11,WA,US,UNITED STATES,residence	
13346348,BRADLEY,GENE,CALDER,1,WA,US,UNITED STATES,residence	
13346348,BRADLEY,GENE,CALDER,1,WA,US,UNITED STATES,postal	
13347519,Iwao,,Fujisaki,1,,JP,JAPAN,postal	
13347519,Iwao,,Fujisaki,1,,JP,JAPAN,residence	
13347931,Reiner,,Fischer,1,,DE,GERMANY,residence	
13347931,Karl-Heinz,,Kuck,5,,DE,GERMANY,residence	
13347931,Reiner,,Fischer,1,,DE,GERMANY,postal	
13347931,Olga,,Malsam,7,,DE,GERMANY,residence	
13347931,Christian,,Arnold,8,,DE,GERMANY,residence	
13347931,Thomas,,Bretschneider,2,,DE,GERMANY,residence	
13347931,Ernst,Rudolf F.,Gesing,3,,DE,GERMANY,residence	
13347931,Thomas,,Auler,9,,DE,GERMANY,residence	
13347931,Martin,Jeffrey,Hills,10,,DE,GERMANY,residence	
13347931,Heinz,,Kehne,11,,DE,GERMANY,residence	
13347931,Dieter,,Feucht,4,,DE,GERMANY,residence	
13347931,Peter,,Losel,6,,DE,GERMANY,residence	
13349306,Bin,Benjamin,Zhu,1,,CN,CHINA,postal	
13349306,Bin,Benjamin,Zhu,1,MN,US,UNITED STATES,residence	
13349306,Fei,,Xue,2,,CN,CHINA,residence	
13349636,Daisuke,,SASAKI,1,,JP,JAPAN,postal	
13349636,Daisuke,,SASAKI,1,,JP,JAPAN,residence	
13349636,Masatoshi,,HASEGAWA,2,,JP,JAPAN,residence	
13349636,Masahiko,,NISHIYAMA,3,,JP,JAPAN,residence	
13349636,Tetsuya,,FUKUOKA,4,,JP,JAPAN,residence	
13350073,Chieh-Yuan,,Cheng,2,,TW,TAIWAN,residence	
13350073,Fu-Tien,,Weng,1,,TW,TAIWAN,postal	
13350073,Fu-Tien,,Weng,1,,TW,TAIWAN,residence	
13350073,Han-Lin,,Wu,3,,TW,TAIWAN,residence	
13351940,Billy,E.,Bingham,1,VA,US,,postal	
13351940,Billy,E.,Bingham,1,VA,US,,residence	
13352042,Nathan,,Nantais,4,,CA,CANADA,residence	
13352042,Naga,,Puttagunta,2,MI,US,UNITED STATES,residence	
13352042,William,,Leisenring,1,MI,US,UNITED STATES,postal	
13352042,William,,Leisenring,1,MI,US,UNITED STATES,residence	
13352042,Kenneth,,Raupp,3,MI,US,UNITED STATES,residence	
13352042,Marc,,Ford,5,MI,US,UNITED STATES,residence	
13353244,Sean,P.,O'Keeffe,1,CA,US,,residence	
13353244,Sean,P.,O'Keeffe,1,CA,US,,postal	
13357554,Christopher,E.,Saxer,1,NC,US,UNITED STATES,postal	
13357554,Christopher,E.,Saxer,1,NC,US,UNITED STATES,residence	
13361878,Hirokazu,,KAMBAYASHI,1,,JP,JAPAN,residence	
13361878,Hirokazu,,KAMBAYASHI,1,,JP,JAPAN,postal	
13361878,Isao,,Suzuki,3,,JP,JAPAN,residence	
13361878,Shogo,,Tsuruta,2,,JP,JAPAN,residence	
13362559,Raymond,Edward,Kalisz,1,MI,US,,residence	
13362559,Raymond,Edward,Kalisz,1,MI,US,UNITED STATES,postal	
13362559,Charles,Alan,Rocco,2,MI,US,,residence	
13363118,Charles,I.,Cook,1,CO,US,,residence	
13363118,Thomas,,Schwengler,2,CO,US,UNITED STATES,residence	
13363118,Charles,I.,Cook,1,CI,US,,postal	
13366098,Michael,Lee,O'Connor,4,CA,US,UNITED STATES,residence	
13366098,Arun,,Ayyagari,5,WA,US,UNITED STATES,residence	
13366098,David,G.,Lawrence,3,CA,US,UNITED STATES,residence	
13366098,David,A.,Whelan,1,CA,US,UNITED STATES,postal	
13366098,David,A.,Whelan,1,CA,US,UNITED STATES,residence	
13366098,Gregory,M.,Gutt,2,VA,US,UNITED STATES,residence	
13368236,Russell,Paul,Cowburn,1,,GB,UNITED KINGDOM,postal	
13368236,Russell,Paul,Cowburn,1,,GB,UNITED KINGDOM,residence	
13368832,Taro,,Takita,1,,JP,JAPAN,postal	
13368832,Taro,,Takita,1,,JP,JAPAN,residence	
13375517,Yuta,,Kanno,1,,JP,JAPAN,residence	
13375517,Wataru,,Shibayama,3,,JP,JAPAN,postal	
13375517,Yuta,,Kanno,1,,JP,JAPAN,postal	
13375517,Wataru,,Shibayama,3,,JP,JAPAN,residence	
13375517,Makoto,,Nakajima,2,,JP,JAPAN,postal	
13375517,Makoto,,Nakajima,2,,JP,JAPAN,residence	
13375553,Ulrika,,Lundin,1,,AT,AUSTRIA,residence	
13375553,Klaus,,Weinberger,2,,AT,AUSTRIA,residence	
13375553,Ulrika,,Lundin,1,,AT,AUSTRIA,postal	
13375553,Klaus,,Weinberger,2,,AT,AUSTRIA,postal	
13378234,Lukas,Willem,Snyman,1,,ZA,SOUTH AFRICA,postal	
13378234,Lukas,Willem,Snyman,1,,ZA,SOUTH AFRICA,residence	
13380309,Hideki,,Kabune,2,,JP,JAPAN,residence	
13380309,Masashi,,Yamasaki,1,,JP,JAPAN,residence	
13380309,Atsushi,,Furumoto,3,,JP,JAPAN,residence	
13380309,Masashi,,Yamasaki,1,,JP,JAPAN,postal	
13380465,Hanna,,Liuke,5,,FI,FINLAND,residence	
13380465,Jimmy,,Lucchesi,2,,FI,FINLAND,residence	
13380465,Pekka,,Hyvonen,4,,FI,FINLAND,residence	
13380465,Nina,,Lindfors,3,,FI,FINLAND,residence	
13380465,Fredrik,,Ollila,1,,FI,FINLAND,postal	
13380465,Fredrik,,Ollila,1,,FI,FINLAND,residence	
13382568,Norbert,,Wiencek,1,,DE,GERMANY,residence	
13382568,Norbert,,Wiencek,1,,DE,GERMANY,postal	
13383095,Yoshihiro,,Iwaki,1,,JP,JAPAN,residence	
13383095,Yoshihiro,,Iwaki,1,,JP,JAPAN,postal	
13384235,Doris Pik-Yiu,,Chun,1,CA,US,UNITED STATES,residence	
13384235,Doris Pik-Yiu,,Chun,1,CA,US,UNITED STATES,postal	
13384235,Hou,T.,Ng,2,CA,US,UNITED STATES,residence	
13385726,Gerald,F.,Mannion,1,IL,US,UNITED STATES,residence	
13385726,Gerald,F.,Mannion,1,IL,US,UNITED STATES,postal	
13388882,Hiroshi,,Hayasaka,1,,JP,JAPAN,residence	
13388882,Hiroyuki,,Takada,3,,JP,JAPAN,residence	
13388882,Takuya,,Aono,2,,JP,JAPAN,residence	
13388882,Hiroshi,,Hayasaka,1,,JP,JAPAN,postal	
13388882,Kazunori,,Yokoyama,4,,JP,JAPAN,residence	
13391231,Adolfo,M.,Llinas,1,,CO,COLOMBIA,residence	
13391231,Stephen,E.,Krampe,2,MN,US,UNITED STATES,residence	
13391231,Matthew,T.,Scholz,3,MN,US,UNITED STATES,residence	
13391231,Patrick,J.,Parks,4,MN,US,UNITED STATES,residence	
13392266,James,M.,McKale,2,OH,US,UNITED STATES,residence	
13392266,Jennifer,E.,Woodell-May,3,IN,US,UNITED STATES,residence	
13392266,Joel,C.,Higgins,1,IN,US,UNITED STATES,residence	
13394361,Tomohiko,,Baba,1,,JP,JAPAN,residence	
13394361,Tomohiko,,Baba,1,,JP,JAPAN,postal	
13397058,Takashi,,NAKAGAWA,5,,JP,JAPAN,residence	
13397058,Shunpei,,YAMAZAKI,1,,JP,JAPAN,residence	
13397058,Takayuki,,IKEDA,2,,JP,JAPAN,residence	
13397058,Shunpei,,YAMAZAKI,1,,JP,JAPAN,postal	
13397058,Munehiro,,KOZUMA,4,,JP,JAPAN,residence	
13397058,Takeshi,,AOKI,3,,JP,JAPAN,residence	
13400122,James,,Liu,1,PA,US,UNITED STATES,postal	
13400122,James,,Liu,1,PA,US,UNITED STATES,residence	
13401644,Kenya,,Morinishi,4,,,,residence	
13401644,Yoshiteru,,Fukutomi,1,,JP,JAPAN,postal	
13401644,Yoshiteru,,Fukutomi,1,,JP,JAPAN,residence	
13401644,Tsuyoshi,,Mitsuhashi,2,,JP,JAPAN,residence	
13401644,Yasuo,,Kawamatsu,5,,JP,JAPAN,residence	
13401644,Hiromichi,,Nagashima,6,,JP,JAPAN,residence	
13401644,Hiroyuki,,Ogura,3,,JP,JAPAN,residence	
13403278,Kevin,Andrew,Gady,1,MI,US,UNITED STATES,residence	
13403278,Kevin,Andrew,Gady,1,MI,US,UNITED STATES,postal	
13403278,Joshua,Clifford,Bedford,2,MI,US,UNITED STATES,residence	
13403918,Kenneth,R.,Matheson,2,TX,US,UNITED STATES,residence	
13403918,Jefferey,,St. Amant,1,TX,US,UNITED STATES,residence	
13403918,Jefferey,,St. Amant,1,TX,US,UNITED STATES,postal	
13403918,Keith,,Nathan,3,TX,US,UNITED STATES,residence	
13405056,Seth,David,Lewis,2,MN,US,UNITED STATES,residence	
13405056,Andrew,Dale,Walls,4,CA,US,UNITED STATES,residence	
13405056,Christopher,William,Mann,3,MN,US,UNITED STATES,residence	
13405056,Lee,Dale,Cleveland,1,MN,US,UNITED STATES,postal	
13405056,Lee,Dale,Cleveland,1,MN,US,UNITED STATES,residence	
13405212,David,,Edmondson,1,CA,US,UNITED STATES,residence	
13405212,David,,Edmondson,1,CA,US,UNITED STATES,postal	
13405212,Xiaoqi,,Zhou,4,CA,US,UNITED STATES,residence	
13405212,Arunkumar,,Madanagopal,2,CA,US,UNITED STATES,residence	
13405212,Francois,K.,Pirayesh,3,CA,US,UNITED STATES,residence	
13405235,Yiming,,Gu,2,,CN,CHINA,residence	
13405235,Qiang,,Wu,1,,CN,CHINA,postal	
13405235,Qiang,,Wu,1,,CN,CHINA,residence	
13405840,Yasushi,,Hattori,1,,JP,JAPAN,residence	
13405840,Naotoshi,,Matsuda,3,,JP,JAPAN,residence	
13405840,Masahiro,,Kato,4,,JP,JAPAN,residence	
13405840,Yasushi,,Hattori,1,,JP,JAPAN,postal	
13405840,Kunio,,Ishida,5,,JP,JAPAN,residence	
13405840,Iwao,,Mitsuishi,2,,JP,JAPAN,residence	
13405840,Aoi,,Okada,9,,JP,JAPAN,residence	
13405840,Keiko,,Albessard,8,,JP,JAPAN,residence	
13405840,Yumi,,Fukuda,6,,JP,JAPAN,residence	
13405840,Ryosuke,,Hiramatsu,7,,JP,JAPAN,residence	
13407904,Ammar,,Chinoy,1,WA,US,UNITED STATES,postal	
13407904,Michael,,Donikian,2,WA,US,UNITED STATES,residence	
13407904,Ashish,,Agrawal,3,WA,US,UNITED STATES,residence	
13407904,Ammar,,Chinoy,1,WA,US,UNITED STATES,residence	
13407904,Amit,,Bhosle,4,WA,US,UNITED STATES,residence	
13408973,Gary,R.,Till,1,OR,US,UNITED STATES,residence	
13408973,Gary,R.,Till,1,OR,US,UNITED STATES,postal	
13409078,Steeve,Teong Sin,KAY,1,CA,US,UNITED STATES,postal	
13409078,Steeve,Teong Sin,KAY,1,CA,US,UNITED STATES,residence	
13409478,Chien-an,,Chen,2,NC,US,,residence	
13409478,Roy,Keller,Thompson,1,NC,US,,residence	
13409478,Roy,Keller,Thompson,1,NC,US,,postal	
13411934,Yasushi,,MIZOGUCHI,2,,JP,JAPAN,residence	
13411934,Makiko,,HINO,1,,JP,JAPAN,residence	
13411934,Makiko,,HINO,1,,JP,JAPAN,postal	
13412858,Gil,,Hecht,1,,IL,ISRAEL,postal	
13412858,Gil,,Hecht,1,,IL,ISRAEL,residence	
13420681,Lewis,R.,Johnson,1,PA,US,UNITED STATES,postal	
13420681,Lewis,R.,Johnson,1,PA,US,UNITED STATES,residence	
13420681,Steven,E.,Minich,2,PA,US,UNITED STATES,residence	
13421730,Richard,C.,Ewers,1,CA,US,UNITED STATES,postal	
13421730,Richard,C.,Ewers,1,CA,US,UNITED STATES,residence	
13421730,Nabil,,Hilal,4,CA,US,UNITED STATES,residence	
13421730,John,R.,Brustad,2,CA,US,UNITED STATES,residence	
13421730,Gary,R.,Dulak,5,CA,US,UNITED STATES,residence	
13421730,Edward,D.,Pingleton,3,CA,US,UNITED STATES,residence	
13421730,Robert,R.,Bowes,7,CA,US,UNITED STATES,residence	
13421730,Payam,,Adlparvar,6,CA,US,UNITED STATES,residence	
13421894,Tracy,A.,Propheter-Hinckley,1,CT,US,UNITED STATES,postal	
13421894,Tracy,A.,Propheter-Hinckley,1,CT,US,UNITED STATES,residence	
13421894,Edward,F.,Pietraszkiewicz,2,CT,US,UNITED STATES,residence	
13421894,Anton,G.,Banks,4,CT,US,UNITED STATES,residence	
13421894,Rafael,A.,Perez,3,PR,US,UNITED STATES,residence	
13422576,Yuichi,,KURIHARA,1,,JP,JAPAN,residence	
13422576,Yuichi,,KURIHARA,1,,JP,JAPAN,postal	
13422576,Yoshiro,,KITAMURA,2,,JP,JAPAN,residence	
13427751,Thierry,,Gouraud,2,,BE,BELGIUM,residence	
13427751,Henricus,Hubertus,van den Berg,1,,NL,NETHERLANDS,postal	
13427751,Henricus,Hubertus,van den Berg,1,,NL,NETHERLANDS,residence	
13429057,Manfred,,REINART,1,,DE,GERMANY,postal	
13429057,Manfred,,REINART,1,,DE,GERMANY,residence	
13429618,Bennett,H.,Adelson,1,OH,US,,postal	
13429618,Bennett,H.,Adelson,1,OH,US,,residence	
13434573,Yoky,,MATSUOKA,1,CA,US,UNITED STATES,postal	
13434573,Mark,D.,STEFANSKI,2,CA,US,UNITED STATES,residence	
13434573,Yoky,,MATSUOKA,1,CA,US,UNITED STATES,residence	
13434573,David,,SLOO,3,CA,US,UNITED STATES,residence	
13437128,Preethi,H.,Gunaratne,1,TX,US,UNITED STATES,postal	
13437128,Preethi,H.,Gunaratne,1,TX,US,UNITED STATES,residence	
13437387,Norbert,,Daniele,2,,FR,FRANCE,residence	
13437387,Christophe,,Villien,1,,FR,FRANCE,postal	
13437387,Christophe,,Villien,1,,FR,FRANCE,residence	
13444091,TIAN-EN,,ZHANG,3,,CN,CHINA,residence	
13444091,MING-LU,,YANG,1,,TW,TAIWAN,residence	
13444091,MING-LU,,YANG,1,,TW,TAIWAN,postal	
13444091,GAO-FENG,,DU,4,,CN,CHINA,residence	
13444091,YA-DONG,,ZHANG,2,,CN,CHINA,residence	
13445738,Philip,Allen,Boe,1,CO,US,UNITED STATES,postal	
13445738,Philip,Allen,Boe,1,CO,US,UNITED STATES,residence	
13445758,Hak-sup,,SONG,1,,KR,"KOREA, REPUBLIC OF",residence	
13445758,Young-ho,,MOON,3,,KR,"KOREA, REPUBLIC OF",residence	
13445758,Hak-sup,,SONG,1,,KR,"KOREA, REPUBLIC OF",postal	
13445758,Jong-bum,,CHOI,4,,KR,"KOREA, REPUBLIC OF",residence	
13445758,Woo-sung,,SHIM,2,,KR,"KOREA, REPUBLIC OF",residence	
13450184,Tsuyoshi,,KAWAKAMI,1,,JP,JAPAN,residence	
13450184,Tsuyoshi,,KAWAKAMI,1,,JP,JAPAN,postal	
13450184,Kazuyasu,,Nishikawa,2,,JP,JAPAN,residence	
13453717,Kenneth,L.,Dudley,1,VA,US,UNITED STATES,residence	
13453717,Kenneth,L.,Dudley,1,VA,US,UNITED STATES,postal	
13453717,Sandra,V.,Koppen,8,VA,US,UNITED STATES,residence	
13453717,Laura,J.,Smith,9,VA,US,UNITED STATES,residence	
13453717,John,J.,Mielnik,7,VA,US,UNITED STATES,residence	
13453717,Chuantong,,Wang,6,VA,US,UNITED STATES,residence	
13453717,Jay,J.,Ely,5,VA,US,UNITED STATES,residence	
13453717,Truong,X.,Nguyen,4,VA,US,UNITED STATES,residence	
13453717,Marie,E.,Woodard,3,VA,US,UNITED STATES,residence	
13453717,George,N.,Szatkowski,2,VA,US,UNITED STATES,residence	
13454162,Frankie,F.,Roohparvar,1,CA,US,,postal	
13454162,Frankie,F.,Roohparvar,1,CA,US,,residence	
13454397,Fumiteru,,Gomi,1,,JP,,postal	
13454397,Fumiteru,,Gomi,1,,JP,,residence	
13458809,Chang,Eun,LEE,1,,KR,"KOREA, REPUBLIC OF",residence	
13458809,Chang,Eun,LEE,1,,KR,"KOREA, REPUBLIC OF",postal	
13458820,James,Leslie,Mobley,7,MI,US,UNITED STATES,residence	
13458820,Vahe,,Bedian,1,CT,US,UNITED STATES,residence	
13458820,Vahe,,Bedian,1,CT,US,UNITED STATES,postal	
13458820,Ian,,Foltz,3,,CA,CANADA,residence	
13458820,Sirid-Aimee,,Kellermann,5,CA,US,UNITED STATES,residence	
13458820,Madhav,Narasimha,Devalaraja,2,MI,US,UNITED STATES,residence	
13458820,Mary,,Haak-Frendscho,4,CA,US,UNITED STATES,residence	
13458820,Joseph,Edwin,Low,6,MI,US,UNITED STATES,residence	
13459783,Frederick,M.,Schwarz,1,CT,US,UNITED STATES,postal	
13459783,Frederick,M.,Schwarz,1,CT,US,UNITED STATES,residence	
13459783,Michael,,Winter,2,CT,US,UNITED STATES,residence	
13460096,Mitchell,,Weiss,1,MA,US,UNITED STATES,postal	
13460096,Mitchell,,Weiss,1,MA,US,UNITED STATES,residence	
13460096,William,R.,Bosworth,2,MA,US,UNITED STATES,residence	
13460584,John,P.,Keane,4,TX,US,,residence	
13460584,Kevin,R.,Sanwicki,3,TX,US,UNITED STATES,residence	
13460584,Michael,A.,Bockus,1,TX,US,,residence	
13460584,Jacob,D.,Henderson,2,TX,US,,residence	
13460584,Michael,A.,Bockus,1,TX,US,,postal	
13461511,Jung Hoo,,Lee,2,,KR,"KOREA, REPUBLIC OF",residence	
13461511,Kyung Uk,,Kim,3,,KR,"KOREA, REPUBLIC OF",residence	
13461511,Wan,Cheol,Yang,1,,KR,"KOREA, REPUBLIC OF",residence	
13461511,Wan,Cheol,Yang,1,,KR,"KOREA, REPUBLIC OF",postal	
13461801,Shunan,,QIU,1,,CN,CHINA,residence	
13461801,Shunan,,QIU,1,,CN,CHINA,postal	
13461801,Zhigang,,Bai,2,,CN,CHINA,residence	
13461801,You,,Ge,5,,CN,CHINA,residence	
13461801,Beiyue,,Yan,4,,CN,CHINA,residence	
13461801,Xuesong,,Xu,3,,CN,CHINA,residence	
13463173,Jim,,Renyer,1,KS,US,UNITED STATES,postal	
13463173,Greg,,Renyer,2,KS,US,UNITED STATES,residence	
13463173,Jim,,Renyer,1,KS,US,UNITED STATES,residence	
13464085,Alvin,,Black,1,UT,US,,postal	
13464085,Jamie,P.,Bowen,3,,UK,,residence	
13464085,Jamie,P.,Bowen,3,,UK,,postal	
13464085,Robert,,Taylor,5,MA,US,,residence	
13464085,Robert,,Taylor,5,NY,US,,postal	
13464085,Alvin,,Black,1,UT,US,,residence	
13464085,Tanmoy,,Hazra,4,,IN,,residence	
13464085,Jason,,Hammond,2,MI,US,,postal	
13464085,Jason,,Hammond,2,MI,US,,residence	
13464085,Tanmoy,,Hazra,4,,IN,,postal	
13464519,Engelbert,,Grunbacher,1,,AT,AUSTRIA,postal	
13464519,Engelbert,,Grunbacher,1,,AT,AUSTRIA,residence	
13464519,Helmut,,Kokal,2,,AT,AUSTRIA,residence	
13464519,Martin,,Schmidt,3,,DE,GERMANY,residence	
13464519,Luigi,,Del Re,4,,AT,AUSTRIA,residence	
13464519,Michael,,Paulweber,5,,AT,AUSTRIA,residence	
13464939,Shu Kin,,Yau,3,,HK,HONG KONG,residence	
13464939,Yat Kit,,Tsui,2,,HK,HONG KONG,residence	
13464939,Dan,,Yang,1,,HK,,postal	
13464939,Pui,Chung,Law,4,,HK,HONG KONG,residence	
13464939,Dan,,Yang,1,,HK,,residence	
13469487,Martin,P.,Goetz,1,NC,US,UNITED STATES,postal	
13469487,Martin,P.,Goetz,1,NC,US,UNITED STATES,residence	
13469487,Gary,E.,O'Neil,2,NC,US,UNITED STATES,residence	
13473559,Timothy,,Chen,1,OH,US,UNITED STATES,postal	
13473559,Timothy,,Chen,1,OH,US,UNITED STATES,residence	
13473559,Haiyan,,Wang,2,OH,US,UNITED STATES,residence	
13473792,YongQi,,Mu,5,CA,US,UNITED STATES,residence	
13473792,Johnny,,Uy,7,CA,US,UNITED STATES,residence	
13473792,Li,,Li,4,CA,US,UNITED STATES,residence	
13473792,Craig,,Husfeld,1,CA,US,UNITED STATES,residence	
13473792,Cameron,,Smith,6,CA,US,UNITED STATES,residence	
13473792,Craig,,Husfeld,1,CA,US,UNITED STATES,postal	
13473792,Rick,,Lee,3,CA,US,UNITED STATES,residence	
13473792,YuHua,,Ji,2,CA,US,UNITED STATES,residence	
13474915,Hisashi,,Ohtani,1,,JP,,residence	
13474915,Yoshiharu,,Hirakata,3,,JP,JAPAN,residence	
13474915,Hisashi,,Ohtani,1,,JP,,postal	
13474915,Yasushi,,Ogata,2,,JP,JAPAN,residence	
13476520,Ming-Sheng,,Tung,1,,TW,TAIWAN,postal	
13476520,Ming-Sheng,,Tung,1,,TW,TAIWAN,residence	
13476781,Kevin,J.,Ash,1,AZ,US,UNITED STATES,residence	
13476781,Kevin,J.,Ash,1,AZ,US,UNITED STATES,postal	
13476781,Keneth,W.,Todd,5,AZ,US,UNITED STATES,residence	
13476781,Lokesh,M.,Gupta,3,AZ,US,UNITED STATES,residence	
13476781,Michael,T.,Benhase,2,AZ,US,UNITED STATES,residence	
13476781,Matthew,J.,Kalos,4,AZ,US,UNITED STATES,residence	
13479581,Chu-Yuan,,LIAO,1,,TW,TAIWAN,postal	
13479581,Chu-Yuan,,LIAO,1,,TW,TAIWAN,residence	
13479712,Carl,W.,Wellborn,1,MI,US,,residence	
13479712,Carl,W.,Wellborn,1,MI,US,,postal	
13479712,Timothy,,Saunders,2,MI,US,,residence	
13479712,Mary,Ellen,DeCaluwe,4,MI,US,,residence	
13479712,Thomas,E.,Houck,5,MI,US,,residence	
13479712,Erik,,Rasmussen,3,MI,US,,residence	
13482185,Daniel,Leong Woon,Loong,1,,SG,SINGAPORE,postal	
13482185,Frederick,F.,Kuhlman,2,IN,US,UNITED STATES,residence	
13482185,Daniel,Leong Woon,Loong,1,,SG,SINGAPORE,residence	
13482873,Osamu,,KARINO,2,,JP,JAPAN,residence	
13482873,Takehiro,,FURUKAWA,6,,JP,JAPAN,residence	
13482873,Yoshiharu,,ONO,1,,JP,JAPAN,postal	
13482873,Yoshihiro,,MIYAGAWA,4,,JP,JAPAN,residence	
13482873,Yoshihiro,,SHIMIZU,3,,JP,JAPAN,residence	
13482873,Yoshiharu,,ONO,1,,JP,JAPAN,residence	
13482873,Hiroyuki,,KAWAJIRI,5,,JP,JAPAN,residence	
13486202,SERGEY,D.,LOPATIN,1,CA,US,,postal	
13486202,SERGEY,D.,LOPATIN,1,CA,US,,residence	
13486202,Robert,Z.,BACHRACH,3,CA,US,,residence	
13486202,Dmitri,A.,BREVNOV,2,CA,US,,residence	
13488038,Stephane,,Monfray,2,,FR,FRANCE,residence	
13488038,Jean Luc,,Huguenin,1,,FR,FRANCE,residence	
13488038,Jean Luc,,Huguenin,1,,FR,FRANCE,postal	
13499107,Hiroyuki,,Takamiya,1,,JP,JAPAN,residence	
13499107,Kenji,,Ueno,2,,JP,JAPAN,residence	
13499107,Masataka,,Ino,3,,JP,JAPAN,residence	
13499107,Hiroyuki,,Takamiya,1,,JP,JAPAN,postal	
13499107,Kenta,,Sato,4,,JP,JAPAN,residence	
13499383,Thomas,Patrice Jean Arsene,Gauthier,1,WA,US,UNITED STATES,residence	
13499383,Thomas,Patrice Jean Arsene,Gauthier,1,WA,US,UNITED STATES,postal	
13499383,Edward,Lam Shang,Leen,2,,GB,UNITED KINGDOM,postal	
13499383,Edward,Lam Shang,Leen,2,,GB,UNITED KINGDOM,residence	
13499980,Toyokazu,,Baika,1,,JP,JAPAN,postal	
13499980,Masahiro,,Nagasaka,3,,JP,JAPAN,residence	
